Learning Rate:0.01, Batch Size:100
Epoch:19.5% Of 1/5, Loss:[0.20815808], Batch Acc:35.0%, Epoch Acc:32.0%
########  8.160555555555556Hrs 0Mins 0Secs remaining  ########
Epoch:20.0% Of 1/5, Loss:[0.18631627], Batch Acc:38.0%, Epoch Acc:32.0%
########  8.179722222222223Hrs 0Mins 0Secs remaining  ########
Epoch:20.5% Of 1/5, Loss:[0.20091669], Batch Acc:35.0%, Epoch Acc:32.0%
########  8.124444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:21.0% Of 1/5, Loss:[0.16158945], Batch Acc:49.0%, Epoch Acc:33.0%
########  8.188611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:21.5% Of 1/5, Loss:[0.19263859], Batch Acc:33.0%, Epoch Acc:33.0%
########  8.155277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:22.0% Of 1/5, Loss:[0.18386537], Batch Acc:42.0%, Epoch Acc:33.0%
########  8.180277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:22.5% Of 1/5, Loss:[0.21063059], Batch Acc:34.0%, Epoch Acc:33.0%
########  8.165833333333333Hrs 0Mins 0Secs remaining  ########
Epoch:23.0% Of 1/5, Loss:[0.17506355], Batch Acc:40.0%, Epoch Acc:33.0%
########  8.108055555555556Hrs 0Mins 0Secs remaining  ########
Epoch:23.5% Of 1/5, Loss:[0.1860469], Batch Acc:37.0%, Epoch Acc:33.0%
########  8.1175Hrs 0Mins 0Secs remaining  ########
Epoch:24.0% Of 1/5, Loss:[0.18094738], Batch Acc:35.0%, Epoch Acc:33.0%
########  8.178888888888888Hrs 0Mins 0Secs remaining  ########
Epoch:24.5% Of 1/5, Loss:[0.17286262], Batch Acc:48.0%, Epoch Acc:34.0%
########  8.116388888888888Hrs 0Mins 0Secs remaining  ########
Epoch:25.0% Of 1/5, Loss:[0.18949006], Batch Acc:40.0%, Epoch Acc:34.0%
########  8.11Hrs 0Mins 0Secs remaining  ########
Epoch:25.5% Of 1/5, Loss:[0.16807783], Batch Acc:47.0%, Epoch Acc:34.0%
########  8.131944444444445Hrs 0Mins 0Secs remaining  ########
Epoch:26.0% Of 1/5, Loss:[0.16459248], Batch Acc:44.0%, Epoch Acc:34.0%
########  8.086388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:26.5% Of 1/5, Loss:[0.17452562], Batch Acc:45.0%, Epoch Acc:34.0%
########  8.136944444444444Hrs 0Mins 0Secs remaining  ########
Epoch:27.0% Of 1/5, Loss:[0.17481657], Batch Acc:44.0%, Epoch Acc:35.0%
########  8.045Hrs 0Mins 0Secs remaining  ########
Epoch:27.5% Of 1/5, Loss:[0.16250788], Batch Acc:45.0%, Epoch Acc:35.0%
########  8.079444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:28.0% Of 1/5, Loss:[0.15952676], Batch Acc:48.0%, Epoch Acc:35.0%
########  8.033333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:28.5% Of 1/5, Loss:[0.17760341], Batch Acc:37.0%, Epoch Acc:35.0%
########  8.04Hrs 0Mins 0Secs remaining  ########
Epoch:29.0% Of 1/5, Loss:[0.15285894], Batch Acc:46.0%, Epoch Acc:35.0%
########  8.058055555555555Hrs 0Mins 0Secs remaining  ########
Epoch:29.5% Of 1/5, Loss:[0.17299987], Batch Acc:42.0%, Epoch Acc:35.0%
########  8.124166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:30.0% Of 1/5, Loss:[0.14241535], Batch Acc:53.0%, Epoch Acc:36.0%
########  8.01388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:30.5% Of 1/5, Loss:[0.17738425], Batch Acc:43.0%, Epoch Acc:36.0%
########  8.044722222222223Hrs 0Mins 0Secs remaining  ########
Epoch:31.0% Of 1/5, Loss:[0.14800648], Batch Acc:60.0%, Epoch Acc:36.0%
########  8.018611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:31.5% Of 1/5, Loss:[0.1556911], Batch Acc:55.00000000000001%, Epoch Acc:36.0%
########  7.9527777777777775Hrs 0Mins 0Secs remaining  ########
Epoch:32.0% Of 1/5, Loss:[0.16455958], Batch Acc:55.00000000000001%, Epoch Acc:37.0%
########  7.918333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:32.5% Of 1/5, Loss:[0.17355441], Batch Acc:41.0%, Epoch Acc:37.0%
########  7.87Hrs 0Mins 0Secs remaining  ########
Epoch:33.0% Of 1/5, Loss:[0.16984481], Batch Acc:46.0%, Epoch Acc:37.0%
########  7.995277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:33.5% Of 1/5, Loss:[0.16289966], Batch Acc:55.00000000000001%, Epoch Acc:37.0%
########  7.9925Hrs 0Mins 0Secs remaining  ########
Epoch:34.0% Of 1/5, Loss:[0.1382963], Batch Acc:55.00000000000001%, Epoch Acc:37.0%
########  7.983611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:34.5% Of 1/5, Loss:[0.13987361], Batch Acc:47.0%, Epoch Acc:38.0%
########  7.873888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:35.0% Of 1/5, Loss:[0.13981143], Batch Acc:56.00000000000001%, Epoch Acc:38.0%
########  7.923333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:35.5% Of 1/5, Loss:[0.14672747], Batch Acc:59.0%, Epoch Acc:38.0%
########  7.920833333333333Hrs 0Mins 0Secs remaining  ########
Epoch:36.0% Of 1/5, Loss:[0.13835836], Batch Acc:60.0%, Epoch Acc:38.0%
########  7.966388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:36.5% Of 1/5, Loss:[0.13777853], Batch Acc:56.00000000000001%, Epoch Acc:39.0%
########  7.903888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:37.0% Of 1/5, Loss:[0.15792963], Batch Acc:50.0%, Epoch Acc:39.0%
########  7.870277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:37.5% Of 1/5, Loss:[0.14787435], Batch Acc:57.99999999999999%, Epoch Acc:39.0%
########  7.885833333333333Hrs 0Mins 0Secs remaining  ########
Epoch:38.0% Of 1/5, Loss:[0.13827344], Batch Acc:57.99999999999999%, Epoch Acc:39.0%
########  7.881944444444445Hrs 0Mins 0Secs remaining  ########
Epoch:38.5% Of 1/5, Loss:[0.1387042], Batch Acc:53.0%, Epoch Acc:40.0%
########  7.892777777777778Hrs 0Mins 0Secs remaining  ########
Epoch:39.0% Of 1/5, Loss:[0.1291619], Batch Acc:59.0%, Epoch Acc:40.0%
########  7.801388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:39.5% Of 1/5, Loss:[0.14851587], Batch Acc:54.0%, Epoch Acc:40.0%
########  7.863611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:40.0% Of 1/5, Loss:[0.12912706], Batch Acc:62.0%, Epoch Acc:40.0%
########  7.865833333333334Hrs 0Mins 0Secs remaining  ########
Epoch:40.5% Of 1/5, Loss:[0.1385048], Batch Acc:54.0%, Epoch Acc:40.0%
########  7.885277777777778Hrs 0Mins 0Secs remaining  ########
Epoch:41.0% Of 1/5, Loss:[0.11979697], Batch Acc:65.0%, Epoch Acc:41.0%
########  7.8277777777777775Hrs 0Mins 0Secs remaining  ########
Epoch:41.5% Of 1/5, Loss:[0.12528259], Batch Acc:59.0%, Epoch Acc:41.0%
########  7.786666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:42.0% Of 1/5, Loss:[0.15530909], Batch Acc:54.0%, Epoch Acc:41.0%
########  7.86Hrs 0Mins 0Secs remaining  ########
Epoch:42.5% Of 1/5, Loss:[0.13620169], Batch Acc:59.0%, Epoch Acc:41.0%
########  7.761666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:43.0% Of 1/5, Loss:[0.12949687], Batch Acc:57.99999999999999%, Epoch Acc:41.0%
########  7.768055555555556Hrs 0Mins 0Secs remaining  ########
Epoch:43.5% Of 1/5, Loss:[0.12859076], Batch Acc:64.0%, Epoch Acc:42.0%
########  7.8052777777777775Hrs 0Mins 0Secs remaining  ########
Epoch:44.0% Of 1/5, Loss:[0.13755918], Batch Acc:60.0%, Epoch Acc:42.0%
########  7.763888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:44.5% Of 1/5, Loss:[0.10240927], Batch Acc:70.0%, Epoch Acc:42.0%
########  7.765555555555555Hrs 0Mins 0Secs remaining  ########
Epoch:45.0% Of 1/5, Loss:[0.12898105], Batch Acc:70.0%, Epoch Acc:43.0%
########  7.7175Hrs 0Mins 0Secs remaining  ########
Epoch:45.5% Of 1/5, Loss:[0.1273911], Batch Acc:57.99999999999999%, Epoch Acc:43.0%
########  7.641944444444444Hrs 0Mins 0Secs remaining  ########
